"id","address","number","submitted","approved","update","condition","ccode1","ccode2","intervention_code","control","n_primary","n_secondary","gender","age_min_type","age_max_type","age_min","age_max","volunteers","purpose","allocation","masking","assignment","endpoint","phase","samplesize_target","samplesize_actual","start_anticipated","end_date","study_status","pub","n_ethics_committees","ethics_review","funding","n_funding","stats_section","ID","time"
"grid.1013.3","University of Sydney","ACTRN12605000011684",2005-07-14,2005-07-15,2007-08-13,"charcotmarietooth disease","Human Genetics and Inherited Disorders","Other human genetics and inherited disorders",NA,"Active",1,4,"All","Restricted","Restricted",7,20,"No","Treatment","Randomised controlled trial","Blinded (masking used)","Parallel","Efficacy",NA,30,NA,2005-05-06,NA,"Recruiting","No",1,"Approved","Charities/Societies/Foundations",1,NA,11,NA
"grid.413973.b","Children s Hospital at Westmead","ACTRN12605000013662",2005-07-12,2005-07-18,2005-07-18,"pertussis infection","Reproductive Health and Childbirth","Complications of newborn","Prevention","Dose comparison",1,1,"All","Restricted","Restricted",NA,0.0136892539356605,"No","Prevention","Randomised controlled trial","Open (masking not used)","Factorial","Efficacy","Phase 3 / Phase 4",80,NA,2005-04-11,NA,"Recruiting","No",2,"Approved","Charities/Societies/Foundations",1,NA,12,NA
NA,"Clinical School of Medicine 43 Collins Street Hobart TAS 7001","ACTRN12605000014651",2005-07-12,2005-07-18,2005-07-18,"chronic obstructive pulmonary disease copd","Respiratory","Chronic obstructive pulmonary disease","Treatment: Drugs","Placebo",1,4,"All","No limit","No limit",NA,NA,"No","Treatment","Randomised controlled trial","Blinded (masking used)","Parallel","Safety/efficacy",NA,200,NA,2007-07-07,NA,"Not yet recruiting","No",1,"Approved","University",2,NA,13,NA
"grid.1026.5","University of South Australia","ACTRN12605000016639",2005-07-18,2005-07-18,2005-07-18,"stroke patients undergoing inpatient rehabilitation","Stroke",NA,"Rehabilitation","Active",1,2,"All","Not stated","Not stated",NA,NA,"No","Treatment","Non-randomised trial","Blinded (masking used)","Parallel","Efficacy",NA,78,NA,2002-01-01,NA,"Completed","No",0,"Approved","Charities/Societies/Foundations",3,NA,14,NA
NA,"Epidemiology and Biostatistics School of Population Health University of Auckland Tamaki Campus Private Bag 92019 Auckland 1","ACTRN12605000017628",2005-07-18,2005-07-18,2005-07-18,"blood pressure","Blood","Normal development and function of platelets and erythrocytes","Prevention","Placebo",1,1,"All","Restricted","Not stated",40,NA,"No","Prevention","Randomised controlled trial","Blinded (masking used)","Parallel","Efficacy","Phase 3",120,NA,2005-07-07,NA,"Recruiting","No",0,"Approved","University",1,NA,15,NA
"grid.1694.a","Women s and Children s Hospital","ACTRN12605000018617",2005-07-11,2005-07-18,2006-01-19,"34 weeks gestation","Reproductive Health and Childbirth","Antenatal care","Prevention","Active",1,2,"All","Not stated","Restricted",NA,0.653846153846154,"No","Prevention","Randomised controlled trial","Blinded (masking used)","Parallel","Safety/efficacy","Phase 4",450,NA,2005-12-01,NA,"Recruiting","No",1,"Approved","Charities/Societies/Foundations",1,NA,16,NA
NA,"Menzies Research Institute Tasmania MS1 UTAS 17 Liverpool Street Private Bag 23 Hobart TAS 7000","ACTRN12605000019606",2005-07-14,2005-07-18,2011-02-21,"chronic obstructive pulmonary disease","Respiratory","Chronic obstructive pulmonary disease","Prevention","Active",3,2,"All","Restricted","Not stated",35,NA,"No","Prevention","Randomised controlled trial","Open (masking not used)","Crossover","Efficacy",NA,1500,NA,2004-11-01,NA,"Completed","Yes",0,"Approved","University",1,NA,17,NA
NA,"Department of community and primary care medicine Geneva University Hospitals  24 rue Micheli du Crest 1211 Geneva","ACTRN12605000020684",2005-07-14,2005-07-18,2008-01-16,"no specific condition is being studied the trial applies to any young people consulting in primary care","Other","Research that is not of generic health relevance and not applicable to specific health categories listed above","Other interventions","Active",1,1,"All","Restricted","Restricted",16,24,"No","Educational / counselling / training","Randomised controlled trial","Open (masking not used)","Parallel","Bio-equivalence",NA,400,NA,2004-08-07,NA,"Completed","Yes",0,"Approved","University",2,NA,18,NA
NA,"43 Collins St Hobart 7001 TAS","ACTRN12605000021673",2005-07-08,2005-07-18,2005-07-18,"normal volunteers","Other","Research that is not of generic health relevance and not applicable to specific health categories listed above","Treatment: Other","Placebo",3,1,"All","Restricted","Not stated",18,NA,"No","Treatment","Non-randomised trial","Blinded (masking used)","Parallel","Safety/efficacy","Phase 1 / Phase 2",100,NA,2004-01-01,NA,"Recruiting","No",0,"Approved","University",1,NA,19,NA
"grid.416153.4","Royal Melbourne Hospital","ACTRN12605000022662",2005-07-12,2005-07-18,2005-07-18,"hyperglycaemia post non st elevation myocardial infarction","Cardiovascular","Other cardiovascular diseases","None","Placebo",1,2,"All","Restricted","Not stated",18,NA,"No","Treatment","Randomised controlled trial","Open (masking not used)","Parallel","Efficacy",NA,40,NA,2005-10-10,NA,"Not yet recruiting","No",0,"Approved","Commercial sector/Industry",2,NA,20,NA
